_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
45	danser	dansé	dansant	avoir		danse	danses	danse	dansons	dansez	dansent	dansais	dansais	dansait	dansions	dansiez	dansaient	dansai	dansas	dansa	dansâmes	dansâtes	dansèrent	danserai	danseras	dansera	danserons	danserez	danseront	ai dansé	as dansé	a dansé	avons dansé	avez dansé	ont dansé	avais dansé	avais dansé	avait dansé	avions dansé	aviez dansé	avaient dansé	eus dansé	eus dansé	eut dansé	eûmes dansé	eûtes dansé	eurent dansé	aurai dansé	auras dansé	aura dansé	aurons dansé	aurez dansé	auront dansé	danse	danses	danse	dansions	dansiez	dansent	dansasse	dansasses	dansât	dansassions	dansassiez	dansassent	aie dansé	aies dansé	ait dansé	ayons dansé	ayez dansé	aient dansé	eusse dansé	eusses dansé	eût dansé	eussions dansé	eussiez dansé	eussent dansé	danserais	danserais	danserait	danserions	danseriez	danseraient	aurais dansé	aurais dansé	aurait dansé	aurions dansé	auriez dansé	auraient dansé	eusse dansé	eusses dansé	eût dansé	eussions dansé	eussiez dansé	eussent dansé		aie dansé !		ayons dansé !	ayez dansé !	
46	décider	décidé	décidant	avoir	se décider	décide	décides	décide	décidons	décidez	décident	décidais	décidais	décidait	décidions	décidiez	décidaient	décidai	décidas	décida	décidâmes	décidâtes	décidèrent	déciderai	décideras	décidera	déciderons	déciderez	décideront	ai décidé	as décidé	a décidé	avons décidé	avez décidé	ont décidé	avais décidé	avais décidé	avait décidé	avions décidé	aviez décidé	avaient décidé	eus décidé	eus décidé	eut décidé	eûmes décidé	eûtes décidé	eurent décidé	aurai décidé	auras décidé	aura décidé	aurons décidé	aurez décidé	auront décidé	décide	décides	décide	décidions	décidiez	décident	décidasse	décidasses	décidât	décidassions	décidassiez	décidassent	aie décidé	aies décidé	ait décidé	ayons décidé	ayez décidé	aient décidé	eusse décidé	eusses décidé	eût décidé	eussions décidé	eussiez décidé	eussent décidé	déciderais	déciderais	déciderait	déciderions	décideriez	décideraient	aurais décidé	aurais décidé	aurait décidé	aurions décidé	auriez décidé	auraient décidé	eusse décidé	eusses décidé	eût décidé	eussions décidé	eussiez décidé	eussent décidé		aie décidé !		ayons décidé !	ayez décidé !	
47	décorer	décoré	décorant	avoir		décore	décores	décore	décorons	décorez	décorent	décorais	décorais	décorait	décorions	décoriez	décoraient	décorai	décoras	décora	décorâmes	décorâtes	décorèrent	décorerai	décoreras	décorera	décorerons	décorerez	décoreront	ai décoré	as décoré	a décoré	avons décoré	avez décoré	ont décoré	avais décoré	avais décoré	avait décoré	avions décoré	aviez décoré	avaient décoré	eus décoré	eus décoré	eut décoré	eûmes décoré	eûtes décoré	eurent décoré	aurai décoré	auras décoré	aura décoré	aurons décoré	aurez décoré	auront décoré	décore	décores	décore	décorions	décoriez	décorent							aie décoré	aies décoré	ait décoré	ayons décoré	ayez décoré	aient décoré	eusse décoré	eusses décoré	eût décoré	eussions décoré	eussiez décoré	eussent décoré	décorerais	décorerais	décorerait	décorerions	décoreriez	décoreraient	aurais décoré	aurais décoré	aurait décoré	aurions décoré	auriez décoré	auraient décoré	eusse décoré	eusses décoré	eût décoré	eussions décoré	eussiez décoré	eussent décoré						
48	demander	demandé	demandant	avoir	se demander	demande	demandes	demande	demandons	demandez	demandent	demandais	demandais	demandait	demandions	demandiez	demandaient	demandai	demandas	demanda	demandâmes	demandâtes	demandèrent	demanderai	demanderas	demandera	demanderons	demanderez	demanderont	ai demandé	as demandé	a demandé	avons demandé	avez demandé	ont demandé	avais demandé	avais demandé	avait demandé	avions demandé	aviez demandé	avaient demandé	eus demandé	eus demandé	eut demandé	eûmes demandé	eûtes demandé	eurent demandé	aurai demandé	auras demandé	aura demandé	aurons demandé	aurez demandé	auront demandé	demande	demandes	demande	demandions	demandiez	demandent	demandasse	demandasses	demandât	demandassions	demandassiez	demandassent	aie demandé	aies demandé	ait demandé	ayons demandé	ayez demandé	aient demandé	eusse demandé	eusses demandé	eût demandé	eussions demandé	eussiez demandé	eussent demandé	demanderais	demanderais	demanderait	demanderions	demanderiez	demanderaient	aurais demandé	aurais demandé	aurait demandé	aurions demandé	auriez demandé	auraient demandé	eusse demandé	eusses demandé	eût demandé	eussions demandé	eussiez demandé	eussent demandé		aie demandé !		ayons demandé !	ayez demandé !	
49	déménager	déménagé	déménagant	avoir		déménage	déménages	déménage	déménagons	déménagez	déménagent	déménagais	déménagais	déménagait	déménagions	déménagiez	déménagaient	déménagai	déménagas	déménaga	déménagâmes	déménagâtes	déménagèrent	déménagerai	déménageras	déménagera	déménagerons	déménagerez	déménageront	ai déménagé	as déménagé	a déménagé	avons déménagé	avez déménagé	ont déménagé	avais déménagé	avais déménagé	avait déménagé	avions déménagé	aviez déménagé	avaient déménagé	eus déménagé	eus déménagé	eut déménagé	eûmes déménagé	eûtes déménagé	eurent déménagé	aurai déménagé	auras déménagé	aura déménagé	aurons déménagé	aurez déménagé	auront déménagé	déménage	déménages	déménage	déménagions	déménagiez	déménagent							aie déménagé	aies déménagé	ait déménagé	ayons déménagé	ayez déménagé	aient déménagé	eusse déménagé	eusses déménagé	eût déménagé	eussions déménagé	eussiez déménagé	eussent déménagé	déménagerais	déménagerais	déménagerait	déménagerions	déménageriez	déménageraient	aurais déménagé	aurais déménagé	aurait déménagé	aurions déménagé	auriez déménagé	auraient déménagé	eusse déménagé	eusses déménagé	eût déménagé	eussions déménagé	eussiez déménagé	eussent déménagé						
50	dépenser	dépensé	dépensant	avoir		dépense	dépenses	dépense	dépensons	dépensez	dépensent	dépensais	dépensais	dépensait	dépensions	dépensiez	dépensaient	dépensai	dépensas	dépensa	dépensâmes	dépensâtes	dépensèrent	dépenserai	dépenseras	dépensera	dépenserons	dépenserez	dépenseront	ai dépensé	as dépensé	a dépensé	avons dépensé	avez dépensé	ont dépensé	avais dépensé	avais dépensé	avait dépensé	avions dépensé	aviez dépensé	avaient dépensé	eus dépensé	eus dépensé	eut dépensé	eûmes dépensé	eûtes dépensé	eurent dépensé	aurai dépensé	auras dépensé	aura dépensé	aurons dépensé	aurez dépensé	auront dépensé	dépense	dépenses	dépense	dépensions	dépensiez	dépensent							aie dépensé	aies dépensé	ait dépensé	ayons dépensé	ayez dépensé	aient dépensé	eusse dépensé	eusses dépensé	eût dépensé	eussions dépensé	eussiez dépensé	eussent dépensé	dépenserais	dépenserais	dépenserait	dépenserions	dépenseriez	dépenseraient	aurais dépensé	aurais dépensé	aurait dépensé	aurions dépensé	auriez dépensé	auraient dépensé	eusse dépensé	eusses dépensé	eût dépensé	eussions dépensé	eussiez dépensé	eussent dépensé						
51	descendre	descendu	descendant	être	se descendre	descends	descends	descend	descendons	descendez	descendent	descendais	descendais	descendait	descendions	descendiez	descendaient	descendis	descendis	descendit	descendîmes	descendîtes	descendirent	descendrai	descendras	descendra	descendrons	descendrez	descendront	suis descendu(e)	es descendu(e)	est descendu(e)	sommes descendu(e)s	êtes descendu(e)(s)	sont descendu(e)s	étais descendu(e)	étais descendu(e)	était descendu(e)	étions descendu(e)s	étiez descendu(e)(s)	étaient descendu(e)s	fus descendu(e)	fus descendu(e)	fut descendu(e)	fûmes descendu(e)s	fûtes descendu(e)(s)	furent descendu(e)s	serai descendu(e)	seras descendu(e)	sera descendu(e)	serons descendu(e)s	serez descendu(e)(s)	seront descendu(e)s	descende	descendes	descende	descendions	descendiez	descendent	descendisse	descendisses	descendît	descendissions	descendissiez	descendissent	sois descendu(e)	sois descendu(e)	soit descendu(e)	soyons descendu(e)s	soyez descendu(e)(s)	soient descendu(e)s	fusse descendu(e)	fusses descendu(e)	fût descendu(e)	fussions descendu(e)s	fussiez descendu(e)(s)	fussent descendu(e)s	descendrais	descendrais	descendrait	descendrions	descendriez	descendraient	serais descendu(e)	serais descendu(e)	serait descendu(e)	serions descendu(e)s	seriez descendu(e)(s)	seraient descendu(e)s	fusse descendu(e)	fusses descendu(e)	fût descendu(e)	fussions descendu(e)s	fussiez descendu(e)(s)	fussent descendu(e)s		sois descendu(e) !		soyons descendu(e)s !	soyez descendu(e)(s) !	
52	détester	détesté	détestant	avoir		déteste	détestes	déteste	détestons	détestez	détestent	détestais	détestais	détestait	détestions	détestiez	détestaient	détestai	détestas	détesta	détestâmes	détestâtes	détestèrent	détesterai	détesteras	détestera	détesterons	détesterez	détesteront	ai détesté	as détesté	a détesté	avons détesté	avez détesté	ont détesté	avais détesté	avais détesté	avait détesté	avions détesté	aviez détesté	avaient détesté	eus détesté	eus détesté	eut détesté	eûmes détesté	eûtes détesté	eurent détesté	aurai détesté	auras détesté	aura détesté	aurons détesté	aurez détesté	auront détesté	déteste	détestes	déteste	détestions	détestiez	détestent							aie détesté	aies détesté	ait détesté	ayons détesté	ayez détesté	aient détesté	eusse détesté	eusses détesté	eût détesté	eussions détesté	eussiez détesté	eussent détesté	détesterais	détesterais	détesterait	détesterions	détesteriez	détesteraient	aurais détesté	aurais détesté	aurait détesté	aurions détesté	auriez détesté	auraient détesté	eusse détesté	eusses détesté	eût détesté	eussions détesté	eussiez détesté	eussent détesté						
53	développer	développé	développant	avoir		développe	développes	développe	développons	développez	développent	développais	développais	développait	développions	développiez	développaient	développai	développas	développa	développâmes	développâtes	développèrent	développerai	développeras	développera	développerons	développerez	développeront	ai développé	as développé	a développé	avons développé	avez développé	ont développé	avais développé	avais développé	avait développé	avions développé	aviez développé	avaient développé	eus développé	eus développé	eut développé	eûmes développé	eûtes développé	eurent développé	aurai développé	auras développé	aura développé	aurons développé	aurez développé	auront développé	développe	développes	développe	développions	développiez	développent							aie développé	aies développé	ait développé	ayons développé	ayez développé	aient développé	eusse développé	eusses développé	eût développé	eussions développé	eussiez développé	eussent développé	développerais	développerais	développerait	développerions	développeriez	développeraient	aurais développé	aurais développé	aurait développé	aurions développé	auriez développé	auraient développé	eusse développé	eusses développé	eût développé	eussions développé	eussiez développé	eussent développé						
54	devenir	devenu	devenant	être		deviens	deviens	devient	devenons	devenez	deviennent	devenais	devenais	devenait	devenions	deveniez	devenaient	devins	devins	devint	devînmes	devîntes	devinrent	deviendrai	deviendras	deviendra	deviendrons	deviendrez	deviendront	suis devenu(e)	es devenu(e)	est devenu(e)	sommes devenu(e)s	êtes devenu(e)(s)	sont devenu(e)s	étais devenu(e)	étais devenu(e)	était devenu(e)	étions devenu(e)s	étiez devenu(e)(s)	étaient devenu(e)s	fus devenu(e)	fus devenu(e)	fut devenu(e)	fûmes devenu(e)s	fûtes devenu(e)(s)	furent devenu(e)s	serai devenu(e)	seras devenu(e)	sera devenu(e)	serons devenu(e)s	serez devenu(e)(s)	seront devenu(e)s	devienne	deviennes	devienne	devenions	deveniez	deviennent	devinsse	devinsses	devînt	devinssions	devinssiez	devinssent	sois devenu(e)	sois devenu(e)	soit devenu(e)	soyons devenu(e)s	soyez devenu(e)(s)	soient devenu(e)s	fusse devenu(e)	fusses devenu(e)	fût devenu(e)	fussions devenu(e)s	fussiez devenu(e)(s)	fussent devenu(e)s	deviendrais	deviendrais	deviendrait	deviendrions	deviendriez	deviendraient	serais devenu(e)	serais devenu(e)	serait devenu(e)	serions devenu(e)s	seriez devenu(e)(s)	seraient devenu(e)s	fusse devenu(e)	fusses devenu(e)	fût devenu(e)	fussions devenu(e)s	fussiez devenu(e)(s)	fussent devenu(e)s		sois devenu(e) !		soyons devenu(e)s !	soyez devenu(e)(s) !	
55	deviner	deviné	devinant	avoir		devine	devines	devine	devinons	devinez	devinent	devinais	devinais	devinait	devinions	deviniez	devinaient	devinai	devinas	devina	devinâmes	devinâtes	devinèrent	devinerai	devineras	devinera	devinerons	devinerez	devineront	ai deviné	as deviné	a deviné	avons deviné	avez deviné	ont deviné	avais deviné	avais deviné	avait deviné	avions deviné	aviez deviné	avaient deviné	eus deviné	eus deviné	eut deviné	eûmes deviné	eûtes deviné	eurent deviné	aurai deviné	auras deviné	aura deviné	aurons deviné	aurez deviné	auront deviné	devine	devines	devine	devinions	deviniez	devinent	devinasse	devinasses	devinât	devinassions	devinassiez	devinassent	aie deviné	aies deviné	ait deviné	ayons deviné	ayez deviné	aient deviné	eusse deviné	eusses deviné	eût deviné	eussions deviné	eussiez deviné	eussent deviné	devinerais	devinerais	devinerait	devinerions	devineriez	devineraient	aurais deviné	aurais deviné	aurait deviné	aurions deviné	auriez deviné	auraient deviné	eusse deviné	eusses deviné	eût deviné	eussions deviné	eussiez deviné	eussent deviné		aie deviné !		ayons deviné !	ayez deviné !	
56	devoir	dû	devant	avoir	se devoir	dois	dois	doit	devons	devez	doivent	devais	devais	devait	devions	deviez	devaient	dus	dus	dut	dûmes	dûtes	durent	devrai	devras	devra	devrons	devrez	devront	ai dû	as dû	a dû	avons dû	avez dû	ont dû	avais dû	avais dû	avait dû	avions dû	aviez dû	avaient dû	eus dû	eus dû	eut dû	eûmes dû	eûtes dû	eurent dû	aurai dû	auras dû	aura dû	aurons dû	aurez dû	auront dû	doive	doives	doive	devions	deviez	doivent	dusse	dusses	dût	dussions	dussiez	dussent	aie dû	aies dû	ait dû	ayons dû	ayez dû	aient dû	eusse dû	eusses dû	eût dû	eussions dû	eussiez dû	eussent dû	devrais	devrais	devrait	devrions	devriez	devraient	aurais dû	aurais dû	aurait dû	aurions dû	auriez dû	auraient dû	eusse dû	eusses dû	eût dû	eussions dû	eussiez dû	eussent dû		aie dû !		ayons dû !	ayez dû !	
57	dire	dit	disant	avoir	se dire	dis	dis	dit	disons	dites	disent	disais	disais	disait	disions	disiez	disaient	dis	dis	dit	dîmes	dîtes	dirent	dirai	diras	dira	dirons	direz	diront	ai dit	as dit	a dit	avons dit	avez dit	ont dit	avais dit	avais dit	avait dit	avions dit	aviez dit	avaient dit	eus dit	eus dit	eut dit	eûmes dit	eûtes dit	eurent dit	aurai dit	auras dit	aura dit	aurons dit	aurez dit	auront dit	dise	dises	dise	disions	disiez	disent	disse	disses	dît	dissions	dissiez	dissent	aie dit	aies dit	ait dit	ayons dit	ayez dit	aient dit	eusse dit	eusses dit	eût dit	eussions dit	eussiez dit	eussent dit	dirais	dirais	dirait	dirions	diriez	diraient	aurais dit	aurais dit	aurait dit	aurions dit	auriez dit	auraient dit	eusse dit	eusses dit	eût dit	eussions dit	eussiez dit	eussent dit		aie dit !		ayons dit !	ayez dit !	
58	discuter	discuté	discutant	avoir		discute	discutes	discute	discutons	discutez	discutent	discutais	discutais	discutait	discutions	discutiez	discutaient	discutai	discutas	discuta	discutâmes	discutâtes	discutèrent	discuterai	discuteras	discutera	discuterons	discuterez	discuteront	ai discuté	as discuté	a discuté	avons discuté	avez discuté	ont discuté	avais discuté	avais discuté	avait discuté	avions discuté	aviez discuté	avaient discuté	eus discuté	eus discuté	eut discuté	eûmes discuté	eûtes discuté	eurent discuté	aurai discuté	auras discuté	aura discuté	aurons discuté	aurez discuté	auront discuté	discute	discutes	discute	discutions	discutiez	discutent	discutasse	discutasses	discutât	discutassions	discutassiez	discutassent	aie discuté	aies discuté	ait discuté	ayons discuté	ayez discuté	aient discuté	eusse discuté	eusses discuté	eût discuté	eussions discuté	eussiez discuté	eussent discuté	discuterais	discuterais	discuterait	discuterions	discuteriez	discuteraient	aurais discuté	aurais discuté	aurait discuté	aurions discuté	auriez discuté	auraient discuté	eusse discuté	eusses discuté	eût discuté	eussions discuté	eussiez discuté	eussent discuté		aie discuté !		ayons discuté !	ayez discuté !	
59	donner	donné	donnant	avoir	se donner	donne	donnes	donne	donnons	donnez	donnent	donnais	donnais	donnait	donnions	donniez	donnaient	donnai	donnas	donna	donnâmes	donnâtes	donnèrent	donnerai	donneras	donnera	donnerons	donnerez	donneront	ai donné	as donné	a donné	avons donné	avez donné	ont donné	avais donné	avais donné	avait donné	avions donné	aviez donné	avaient donné	eus donné	eus donné	eut donné	eûmes donné	eûtes donné	eurent donné	aurai donné	auras donné	aura donné	aurons donné	aurez donné	auront donné	donne	donnes	donne	donnions	donniez	donnent	donnasse	donnasses	donnât	donnassions	donnassiez	donnassent	aie donné	aies donné	ait donné	ayons donné	ayez donné	aient donné	eusse donné	eusses donné	eût donné	eussions donné	eussiez donné	eussent donné	donnerais	donnerais	donnerait	donnerions	donneriez	donneraient	aurais donné	aurais donné	aurait donné	aurions donné	auriez donné	auraient donné	eusse donné	eusses donné	eût donné	eussions donné	eussiez donné	eussent donné		aie donné !		ayons donné !	ayez donné !	
60	dormir	dormi	dormant	avoir		dors	dors	dort	dormons	dormez	dorment	dormais	dormais	dormait	dormions	dormiez	dormaient	dormis	dormis	dormit	dormîmes	dormîtes	dormirent	dormirai	dormiras	dormira	dormirons	dormirez	dormiront	ai dormi	as dormi	a dormi	avons dormi	avez dormi	ont dormi	avais dormi	avais dormi	avait dormi	avions dormi	aviez dormi	avaient dormi	eus dormi	eus dormi	eut dormi	eûmes dormi	eûtes dormi	eurent dormi	aurai dormi	auras dormi	aura dormi	aurons dormi	aurez dormi	auront dormi	dorme	dormes	dorme	dormions	dormiez	dorment	dormisse	dormisses	dormît	dormissions	dormissiez	dormissent	aie dormi	aies dormi	ait dormi	ayons dormi	ayez dormi	aient dormi	eusse dormi	eusses dormi	eût dormi	eussions dormi	eussiez dormi	eussent dormi	dormirais	dormirais	dormirait	dormirions	dormiriez	dormiraient	aurais dormi	aurais dormi	aurait dormi	aurions dormi	auriez dormi	auraient dormi	eusse dormi	eusses dormi	eût dormi	eussions dormi	eussiez dormi	eussent dormi		aie dormi !		ayons dormi !	ayez dormi !	
61	durer	duré	durant	avoir		dure	dures	dure	durons	durez	durent	durais	durais	durait	durions	duriez	duraient	durai	duras	dura	durâmes	durâtes	durèrent	durerai	dureras	durera	durerons	durerez	dureront	ai duré	as duré	a duré	avons duré	avez duré	ont duré	avais duré	avais duré	avait duré	avions duré	aviez duré	avaient duré	eus duré	eus duré	eut duré	eûmes duré	eûtes duré	eurent duré	aurai duré	auras duré	aura duré	aurons duré	aurez duré	auront duré	dure	dures	dure	durions	duriez	durent	durasse	durasses	durât	durassions	durassiez	durassent	aie duré	aies duré	ait duré	ayons duré	ayez duré	aient duré	eusse duré	eusses duré	eût duré	eussions duré	eussiez duré	eussent duré	durerais	durerais	durerait	durerions	dureriez	dureraient	aurais duré	aurais duré	aurait duré	aurions duré	auriez duré	auraient duré	eusse duré	eusses duré	eût duré	eussions duré	eussiez duré	eussent duré		aie duré !		ayons duré !	ayez duré !	
62	économiser	économisé	économisant	avoir		économise	économises	économise	économisons	économisez	économisent	économisais	économisais	économisait	économisions	économisiez	économisaient	économisai	économisas	économisa	économisâmes	économisâtes	économisèrent	économiserai	économiseras	économisera	économiserons	économiserez	économiseront	ai économisé	as économisé	a économisé	avons économisé	avez économisé	ont économisé	avais économisé	avais économisé	avait économisé	avions économisé	aviez économisé	avaient économisé	eus économisé	eus économisé	eut économisé	eûmes économisé	eûtes économisé	eurent économisé	aurai économisé	auras économisé	aura économisé	aurons économisé	aurez économisé	auront économisé	économise	économises	économise	économisions	économisiez	économisent							aie économisé	aies économisé	ait économisé	ayons économisé	ayez économisé	aient économisé	eusse économisé	eusses économisé	eût économisé	eussions économisé	eussiez économisé	eussent économisé	économiserais	économiserais	économiserait	économiserions	économiseriez	économiseraient	aurais économisé	aurais économisé	aurait économisé	aurions économisé	auriez économisé	auraient économisé	eusse économisé	eusses économisé	eût économisé	eussions économisé	eussiez économisé	eussent économisé						
63	écrire	écrit	écrivant	avoir	s'écrire	écris	écris	écrit	écrivons	écrivez	écrivent	écrivais	écrivais	écrivait	écrivions	écriviez	écrivaient	écrivis	écrivis	écrivit	écrivîmes	écrivîtes	écrivirent	écrirai	écriras	écrira	écrirons	écrirez	écriront	ai écrit	as écrit	a écrit	avons écrit	avez écrit	ont écrit	avais écrit	avais écrit	avait écrit	avions écrit	aviez écrit	avaient écrit	eus écrit	eus écrit	eut écrit	eûmes écrit	eûtes écrit	eurent écrit	aurai écrit	auras écrit	aura écrit	aurons écrit	aurez écrit	auront écrit	écrive	écrives	écrive	écrivions	écriviez	écrivent	écrivisse	écrivisses	écrivît	écrivissions	écrivissiez	écrivissent	aie écrit	aies écrit	ait écrit	ayons écrit	ayez écrit	aient écrit	eusse écrit	eusses écrit	eût écrit	eussions écrit	eussiez écrit	eussent écrit	écrirais	écrirais	écrirait	écririons	écririez	écriraient	aurais écrit	aurais écrit	aurait écrit	aurions écrit	auriez écrit	auraient écrit	eusse écrit	eusses écrit	eût écrit	eussions écrit	eussiez écrit	eussent écrit		aie écrit !		ayons écrit !	ayez écrit !	
64	effacer	effacé	effaçant	avoir	s'effacer	efface	effaces	efface	effaçons	effacez	effacent	effaçais	effaçais	effaçait	effacions	effaciez	effaçaient	effaçai	effaças	effaça	effaçâmes	effaçâtes	effacèrent	effacerai	effaceras	effacera	effacerons	effacerez	effaceront	ai effacé	as effacé	a effacé	avons effacé	avez effacé	ont effacé	avais effacé	avais effacé	avait effacé	avions effacé	aviez effacé	avaient effacé	eus effacé	eus effacé	eut effacé	eûmes effacé	eûtes effacé	eurent effacé	aurai effacé	auras effacé	aura effacé	aurons effacé	aurez effacé	auront effacé	efface	effaces	efface	effacions	effaciez	effacent	effaçasse	effaçasses	effaçât	effaçassions	effaçassiez	effaçassent	aie effacé	aies effacé	ait effacé	ayons effacé	ayez effacé	aient effacé	eusse effacé	eusses effacé	eût effacé	eussions effacé	eussiez effacé	eussent effacé	effacerais	effacerais	effacerait	effacerions	effaceriez	effaceraient	aurais effacé	aurais effacé	aurait effacé	aurions effacé	auriez effacé	auraient effacé	eusse effacé	eusses effacé	eût effacé	eussions effacé	eussiez effacé	eussent effacé		aie effacé !		ayons effacé !	ayez effacé !	
65	enregistrer	enregistré	enregistrant	avoir		enregistre	enregistres	enregistre	enregistrons	enregistrez	enregistrent	enregistrais	enregistrais	enregistrait	enregistrions	enregistriez	enregistraient	enregistrai	enregistras	enregistra	enregistrâmes	enregistrâtes	enregistrèrent	enregistrerai	enregistreras	enregistrera	enregistrerons	enregistrerez	enregistreront	ai enregistré	as enregistré	a enregistré	avons enregistré	avez enregistré	ont enregistré	avais enregistré	avais enregistré	avait enregistré	avions enregistré	aviez enregistré	avaient enregistré	eus enregistré	eus enregistré	eut enregistré	eûmes enregistré	eûtes enregistré	eurent enregistré	aurai enregistré	auras enregistré	aura enregistré	aurons enregistré	aurez enregistré	auront enregistré	enregistre	enregistres	enregistre	enregistrions	enregistriez	enregistrent							aie enregistré	aies enregistré	ait enregistré	ayons enregistré	ayez enregistré	aient enregistré	eusse enregistré	eusses enregistré	eût enregistré	eussions enregistré	eussiez enregistré	eussent enregistré	enregistrerais	enregistrerais	enregistrerait	enregistrerions	enregistreriez	enregistreraient	aurais enregistré	aurais enregistré	aurait enregistré	aurions enregistré	auriez enregistré	auraient enregistré	eusse enregistré	eusses enregistré	eût enregistré	eussions enregistré	eussiez enregistré	eussent enregistré						
66	entendre	entendu	entendant	avoir	s'entendre	entends	entends	entend	entendons	entendez	entendent	entendais	entendais	entendait	entendions	entendiez	entendaient	entendis	entendis	entendit	entendîmes	entendîtes	entendirent	entendrai	entendras	entendra	entendrons	entendrez	entendront	ai entendu	as entendu	a entendu	avons entendu	avez entendu	ont entendu	avais entendu	avais entendu	avait entendu	avions entendu	aviez entendu	avaient entendu	eus entendu	eus entendu	eut entendu	eûmes entendu	eûtes entendu	eurent entendu	aurai entendu	auras entendu	aura entendu	aurons entendu	aurez entendu	auront entendu	entende	entendes	entende	entendions	entendiez	entendent	entendisse	entendisses	entendît	entendissions	entendissiez	entendissent	aie entendu	aies entendu	ait entendu	ayons entendu	ayez entendu	aient entendu	eusse entendu	eusses entendu	eût entendu	eussions entendu	eussiez entendu	eussent entendu	entendrais	entendrais	entendrait	entendrions	entendriez	entendraient	aurais entendu	aurais entendu	aurait entendu	aurions entendu	auriez entendu	auraient entendu	eusse entendu	eusses entendu	eût entendu	eussions entendu	eussiez entendu	eussent entendu		aie entendu !		ayons entendu !	ayez entendu !	
67	entrer	entré	entrant	être		entre	entres	entre	entrons	entrez	entrent	entrais	entrais	entrait	entrions	entriez	entraient	entrai	entras	entra	entrâmes	entrâtes	entrèrent	entrerai	entreras	entrera	entrerons	entrerez	entreront	suis entré(e)	es entré(e)	est entré(e)	sommes entré(e)s	êtes entré(e)(s)	sont entré(e)s	étais entré(e)	étais entré(e)	était entré(e)	étions entré(e)s	étiez entré(e)(s)	étaient entré(e)s	fus entré(e)	fus entré(e)	fut entré(e)	fûmes entré(e)s	fûtes entré(e)(s)	furent entré(e)s	serai entré(e)	seras entré(e)	sera entré(e)	serons entré(e)s	serez entré(e)(s)	seront entré(e)s	entre	entres	entre	entrions	entriez	entrent	entrasse	entrasses	entrât	entrassions	entrassiez	entrassent	sois entré(e)	sois entré(e)	soit entré(e)	soyons entré(e)s	soyez entré(e)(s)	soient entré(e)s	fusse entré(e)	fusses entré(e)	fût entré(e)	fussions entré(e)s	fussiez entré(e)(s)	fussent entré(e)s	entrerais	entrerais	entrerait	entrerions	entreriez	entreraient	serais entré(e)	serais entré(e)	serait entré(e)	serions entré(e)s	seriez entré(e)(s)	seraient entré(e)s	fusse entré(e)	fusses entré(e)	fût entré(e)	fussions entré(e)s	fussiez entré(e)(s)	fussent entré(e)s		sois entré(e) !		soyons entré(e)s !	soyez entré(e)(s) !	
